video_name,url,t1_start,t1_stop,t1_cut_duration,t2_start,t2_stop,t2_cut_duration,t3_start,t3_stop,t3_cut_duration,t5_start,t5_stop
What happen when Liquefied Petroleum Gas (LPG) Release from cylinder instantly!!.mp4,https://www.youtube.com/watch?v=GTQPI8srW9Q,0:00:03,0:01:10,0:01:07,,,0,,,,,
DIWALI SPECIAL VIDEO VJ PAWAN SINGH.mp4,https://www.youtube.com/watch?v=hQ9LcqpERB0,0:01:25,0:01:55,0:00:30,0:06:00,0:08:41,0:02:41,,,,,
गैस सिलेंडर के फटने पुरे शहर माग लगी.mp4,https://www.youtube.com/watch?v=Ss7HavJxpfg,0:00:01,0:00:41,0:00:40,,,0,,,,,
LPG Cylinder ki Aag ko bujhaney ka 7 asaan tarika LPG GAS CYLINDER Q BLUST HOTA HAI .mp4,https://www.youtube.com/watch?v=MHZF9uL2MGI,0:04:49,0:05:46,0:00:57,0:06:30,0:11:39,0:05:09,,,,,
Gas Cylinder vs Road Roller Experiment Gas cylinder Survive Or Not Experiment King.mp4,https://www.youtube.com/watch?v=ka24vEjS2Rg,0:01:03,0:04:34,0:03:31,,,0,,,,,
Dropping Gas Cylinder On Our Car Gas Cylinder vs Car Experiment Experiment King.mp4,https://www.youtube.com/watch?v=pBjj7TDkRcM,0:00:00,0:00,0:00,0:01,0:02:19,0:00:36,,,,,
Gas Cylinder Safety Demo by professional Indian police.mp4,https://www.youtube.com/watch?v=ChgxvcgruLY,0:00,1:10,1:10,,,0,,,,,
Hero fireman takes burning gas cylinder from blazing home.mp4,https://www.youtube.com/watch?v=V2JWUrCwqdw,0:02,0:42,0:40,,,0,,,,,
Incredible Gas Cylinders Manufacturing Process You Should Watch Excellent Manufacturing Technology.mp4,https://www.youtube.com/watch?v=q67igkkUTHM,2:30,5:27,2:57,,,0,,,,,
ARGON GAS CYLINDER BLAST.mp4,https://www.youtube.com/watch?v=5TONnPbRc1k,0:00,0:18,0:18,,,0,,,,,
Oxygen Cylinder Filling Plants By Universal Industrial Plants Manufacturing Co (P) Ltd New Delhi.mp4,https://www.youtube.com/watch?v=lR5hVZWOK9c,0:20,1:05,0:45,,,0,,,,,
Haun Welding Supply fill island(12).mp4,https://www.youtube.com/watch?v=08ioo_HHL9M,0:00,2:26,2:26,,,0,,,,,
Oxygen gas cylinder video.mp4,https://www.youtube.com/watch?v=9Bz5o8usWQQ,0:04,1:08,1:04,,,0,,,,,
What is back fire Oxygen cylinder blast All information in UrduHindi.mp4,https://www.youtube.com/watch?v=CTu5IXzrAqk,0:13,7:17,7:04,,,0,,,,,
BOCHow to transport gas cylinders safely.mp4,www.youtube.com/watch?v=XMMXsWWNn-s,0:25,0:44,0:19,,,0,,,,,
Gas cylinders production factoryoxygen cylinderAcetylene cylinders.mp4,https://www.youtube.com/watch?v=VqVObmS_GOE,0:16,0:31,0:15,,,0,,,,,
UnbelievableLPG cylinder blast and kitchen firefire fighting technique.mp4,https://www.youtube.com/watch?v=RSaXCvYNq58,0:05,2:30,2:25,3:40,5:49,,,,,,
LPG Cylinders Filling Plant.mp4,https://www.youtube.com/watch?v=jqaAToQu1kE,0:10,5:00,4:50,,,,,,,,
Big to Small Cylinder LPG Gas Transfer.mp4,https://www.youtube.com/watch?v=PkAK2QxEMYc,0:25,6:54,6:29,,,,,,,,
14 kg lpg gas cylinder to small stove Refiling can How to use 5 kg stove to mini can Refiling .mp4,https://www.youtube.com/watch?v=WdjAiYGH1vo,0:05,5:18,5:13,,,,,,,,
Refilling a LPGButane bottle at a Petrol Station LPG gas Pump Safely.mp4,https://www.youtube.com/watch?v=eyRwM2WJm6I,0:00,5:24,5:24,,,,,,,,
